Risk_A,Risk_B,Risk_C,Risk_D,RiSk_E,Risk
2.508,0.5,1,0.676,0.4,1
0,0.966,1,0.188,0.4,0
0.102,0.046,1,0,0.4,0
0,6.48,3.6,7.05,0.4,1
0,0.016,1,0,0.4,0
0,0.166,1,0.59,0.4,0
0.44,2.964,1,26.97,0.4,1
5.1,7.218,2.2,3.116,0.4,1
5.04,6.63,2.2,2.936,0.4,1
2.388,0.198,1,0.386,0.4,0
3.258,6.462,1,0.884,0.4,1
9.228,24.084,1,0.192,0.8,1
3.282,3.052,1,6.258,0.4,1
0.436,0.07,1,0,0.4,0
0,0.168,1,0.0014,0.4,0
0.78,3.604,1,3.6,0.4,1
5.124,18.978,1,24.768,0.4,1
2.508,0.966,2.2,8.418,0.4,1
0.724,0.206,1,0,0.4,0
2.916,28.068,2.2,37.908,0.4,1
3.756,8.46,1,20.544,0.4,1
0.004,2.376,1,0.002,0.4,0
3.186,13.674,1,123.114,0.4,1
0.188,0.002,1,0.02,0.4,0
3.468,34.752,1,6.696,0.4,1
4.452,0.448,1,0.25,0.4,1
0,0.22,1,0.0014,0.4,0
4.11,19.056,1,0.292,0.4,1
0,0.206,1,0,0.4,0
0,0.15,1,2.712,0.4,0
1.44,9.978,1,0.232,0.4,1
0,0.01,1,91.446,0.4,1
0,0.352,1,0.216,0.4,0
0,0.594,1,0.568,0.4,0
0,0.086,1,0,0.4,0
0,0.188,1,0.18,0.4,0
5.406,11.892,1,3.868,0.4,1
0,0.01,1,0,0.4,0
7.17,18.54,1,19.608,0.4,1
4.782,10.308,1,561.018,0.4,1
0,0.742,1,17.778,0.4,1
0.124,0.404,1,0.022,0.4,0
0,0.454,1,0.524,0.4,0
0,0,1,0,0.4,0
0.528,0,1,0.012,0.4,0
0,0.206,1,0.486,0.4,0
0,9.228,1,75.678,0.4,1
0,0.204,1,0,0.4,0
0,12.426,1,12.474,0.4,1
1.77,2.624,1,94.152,0.4,1
0.788,0.42,1,7.374,1.2,1
0,10.83,1,0.458,0.4,1
0,0.186,1,3.112,0.4,0
0,0.322,1,0.502,0.4,0
3.792,3.604,1,3.324,0.4,1
0,0.21,1,0.032,0.4,0
0,2.72,1,28.74,0.4,1
8.424,6.498,1,3.564,0.4,1
4.002,10.812,2.2,0.99,0.4,1
0,0,1,0.35,0.4,0
0,0.016,1,0.136,0.4,0
0.504,0.01,1,0,0.4,0
0,0.006,1,0.012,0.4,0
0,0.158,1,9.492,0.4,1
2.856,7.818,1,0.116,0.4,1
5.286,3.608,1,129.186,0.4,1
0,0.014,1,0,0.4,0
8.352,0.44,1,0.01,0.4,1
0.428,0,1,0,0.4,0
0,0.178,1,0,0.4,0
0,0.796,3.6,32.004,0.4,1
6,44.556,2.2,6.696,0.4,1
2.544,3.224,1,6.414,0.4,1
7.362,43.476,1,2.276,0.4,1
0,0.192,1,0.27,0.4,0
7.62,0.256,1,7.014,0.4,1
0,37.878,1,8.76,0.4,1
0.796,6.144,1,12.468,0.4,1
0.01,0.042,2.2,61.332,0.4,1
0,2.948,1,0.148,0.4,0
0,0.744,1,0,0.4,1
42.888,15.378,1,524.022,0.4,1
0,0,1,0,0.4,0
0.148,0.2,1,0,0.4,0
0,0.116,1,0,0.4,0
5.076,43.656,1,0.28,0.8,1
0.084,0.014,1,0.084,0.4,0
0.002,0.258,2.2,21.912,0.8,1
4.11,39.558,2.2,2.408,0.8,1
3.222,3.448,1,10.296,0.8,1
2.958,2.616,2.2,7.746,0.8,1
0.488,0.012,1,0,0.8,0
0,0.17,1,0,0.8,0
9.432,34.764,3.6,6.474,1.2,1
2.97,25.566,1,0.692,1.2,1
0,0.016,1,0.012,1.2,1
0.476,7.728,1,0.466,1.2,1
0,0.544,1,2.232,1.2,1
0,0.332,1,0.152,1.2,1
